INFO 2025-02-19 21:56:18,622 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-19 21:56:18,624 autoreload Waiting for apps ready_event.
DEBUG 2025-02-19 21:56:18,705 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-02-19 21:56:18,730 autoreload Watching dir D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-02-19 21:56:18,732 autoreload Watching dir D:\mobile_app\apsocial_backend\locale with glob **/*.mo.
DEBUG 2025-02-19 21:56:18,733 autoreload Watching dir D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-02-19 21:56:18,733 autoreload Watching dir D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-02-19 21:56:18,738 autoreload Watching dir D:\mobile_app\apsocial_backend\users\locale with glob **/*.mo.
DEBUG 2025-02-19 21:56:18,776 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-02-19 21:56:18,779 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-02-19 21:56:18,956 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\utils\timesince.py first seen with mtime 1739825269.9313536
DEBUG 2025-02-19 21:56:18,957 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1739825269.8543525
DEBUG 2025-02-19 21:56:18,957 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\json\encoder.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,957 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1739825269.7963533
DEBUG 2025-02-19 21:56:18,958 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\DLLs\_decimal.pyd first seen with mtime 1666629288.0
DEBUG 2025-02-19 21:56:18,958 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1739825268.6801984
DEBUG 2025-02-19 21:56:18,958 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1739825269.824353
DEBUG 2025-02-19 21:56:18,959 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\mimetypes.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,959 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\template\base.py first seen with mtime 1739825269.9043524
DEBUG 2025-02-19 21:56:18,960 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1739825269.940353
DEBUG 2025-02-19 21:56:18,960 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\typing.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,960 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1739825269.9383528
DEBUG 2025-02-19 21:56:18,961 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1739825269.8443534
DEBUG 2025-02-19 21:56:18,961 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\socketserver.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,961 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\db\migrations\state.py first seen with mtime 1739825269.8473532
DEBUG 2025-02-19 21:56:18,962 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\forms\renderers.py first seen with mtime 1739825269.8693535
DEBUG 2025-02-19 21:56:18,962 autoreload File C:\Users\Smart\AppData\Local\Programs\Python\Python311\Lib\asyncio\format_helpers.py first seen with mtime 1666629248.0
DEBUG 2025-02-19 21:56:18,962 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1739825268.420197
DEBUG 2025-02-19 21:56:18,963 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\contrib\auth\base_user.py first seen with mtime 1739825268.9921975
DEBUG 2025-02-19 21:56:18,963 autoreload File D:\mobile_app\apsocial_backend\.venv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1739825269.8023534
